kpi_id (kpi_*),kpi_name,pillar (A|B|C),objective,grain,unit,type (direct|calc|proxy),formula_text,inputs_tables,inputs_columns,dependencies,blank_rules
,ΔVendas mensal (vs média-3m),A,,,,,,,,,
,Vendas diárias médias,A,,,,,,,,,
,DoS em valor (proxy em dias),A,,,,,,,,,
,Giro (mensal),A,,,,,,,,,
,Taxa de transferência,A,,,,,,,,,
,Taxa de quebra (BTL) vs compras,A,,,,,,,,,
,ISR (Seasonally Adjusted),B,,,,,,,,,
,MoM % (Seasonally Adjusted),B,,,,,,,,,
,YoY % (Seasonally Adjusted),B,,,,,,,,,
,DoS (dias),B,,,,,,,,,
,Giro anual (valor),B,,,,,,,,,
,Percentil histórico (10 anos),B,,,,,,,,,
,ISR (Not Seasonally Adjusted),B,,,,,,,,,
,Gap sazonal (Seasonally Adjusted − Not Seasonally Adjusted),B,,,,,,,,,
,Receita líquida de revenda,C,,,,,,,,,
,Estoque em 31/12,C,,,,,,,,,
,Estoque médio,C,,,,,,,,,
,ISR Anual,C,,,,,,,,,
,Giro anual,C,,,,,,,,,
,Margem de comercialização (%),C,,,,,,,,,
,GMROI,C,,,,,,,,,
